date,forecast
2020-04-01,182745.8633837
2020-04-02,191652.802184004
2020-04-03,212069.284590199
2020-04-06,209902.017161411
2020-04-07,208133.376855425
2020-04-08,206226.249158591
2020-04-09,198307.824176076
2020-04-10,195439.229544353
2020-04-13,188175.959483899
2020-04-14,187328.852848991
2020-04-15,190608.178798176
2020-04-16,193902.040437596
2020-04-17,196447.905091988
2020-04-20,194364.926612435
2020-04-21,193948.69236285
2020-04-22,194688.845064017
2020-04-23,192942.809426544
2020-04-24,190944.229277228
2020-04-27,187893.387069353
2020-04-28,187635.479685301
2020-04-29,187478.214343702
2020-04-30,186069.123703592
