date,deposit.amount,business.day.of.month,year.month,weekday,prev.weekday,prev.date,next.date,is.wednesday.semiweekly,is.friday.semiweekly,is.month.start,is.month.end,is.year.start,is.year.end,is.monday,is.tuesday,is.wednesday,is.thursday,is.friday,is.fifteen,is.sixteen,is.second,is.eleventh,is.third,is.twelveth,is.xmas,is.post.thanksgiving,is.march.sixteen,is.april.sixteen,is.tax.season,third.monday.date,first.monday.date,first.wednesday.date,first.friday.date,first.semiweekly.date,is.third.monday,is.first.monday,is.first.wednesday,is.first.friday,is.first.semiweekly,day.average,day.count,month.length,month.deposit.amount
1990-01-02,3689,1,Jan 1990,1,NA,NA,1990-01-03,0,0,NA,0,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,NA,0,0,0,3450.5714285714284,21,31,72462
1990-01-03,1946,2,Jan 1990,2,1,1990-01-02,1990-01-04,NA,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,1,0,NA,3450.5714285714284,21,31,72462
1990-01-04,4202,3,Jan 1990,3,2,1990-01-03,1990-01-05,NA,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,0,NA,3450.5714285714284,21,31,72462
1990-01-05,4635,4,Jan 1990,4,3,1990-01-04,1990-01-08,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,1,0,3450.5714285714284,21,31,72462
1990-01-08,3065,5,Jan 1990,0,4,1990-01-05,1990-01-09,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,0,0,3450.5714285714284,21,31,72462
1990-01-09,3616,6,Jan 1990,1,0,1990-01-08,1990-01-10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,0,0,3450.5714285714284,21,31,72462
1990-01-10,6475,7,Jan 1990,2,1,1990-01-09,1990-01-11,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,0,0,3450.5714285714284,21,31,72462
1990-01-11,4535,8,Jan 1990,3,2,1990-01-10,1990-01-12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,0,0,3450.5714285714284,21,31,72462
1990-01-12,3670,9,Jan 1990,4,3,1990-01-11,1990-01-16,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,0,0,0,0,0,3450.5714285714284,21,31,72462
1990-01-16,3241,10,Jan 1990,1,4,1990-01-12,1990-01-17,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1990-01-15,1990-01-01,1990-01-03,1990-01-05,1990-01-03,1,0,0,0,0,3450.5714285714284,21,31,72462
