term,estimate,std.error,statistic,p.value
(Intercept),-0.5196534179966434,0.1112009692156399,-4.673101517568037,3.19938983322932e-6
is.monday,1.399555932963027,0.017680151972409647,79.1597230129623,0
is.wednesday,0.5836089717189049,0.017722525528555494,32.93035017941221,1.476764742015374e-184
is.thursday,0.1286034995453648,0.016251367520364688,7.913395557894495,4.46533894198094e-15
is.friday,0.4876097413782696,0.01788168251146257,27.268672344769602,3.1749010255482197e-136
is.sixteen,0.7630995098465471,0.028009075519136988,27.24472320856021,5.006770867986329e-136
is.eleventh,0.1445311228569615,0.027690786280489838,5.219466193301782,2.0136677424601387e-7
is.second,0.23786190508799945,0.025493605069523095,9.330257703425273,3.1653936845579334e-20
is.month.start,1.6258900442366482,0.027507100100727853,59.10801350497962,0
is.month.end,0.22380518408998618,0.026082919536601436,8.580526569348441,2.0856951650547482e-17
is.year.start,0.44880353767973297,0.09330642856267865,4.809995887670794,1.6420340898776318e-6
is.year.end,0.4951811482725715,0.08608709256425472,5.752095157621594,1.0423459145761742e-8
is.march.sixteen,0.41545915359775315,0.07262811999550355,5.720362218152893,1.2525661506107864e-8
is.april.sixteen,-0.7188804683392896,0.07768349723377013,-9.253966336968439,6.263304019934317e-20
is.tax.season,0.5215135387848994,0.0644477089323443,8.092041554686949,1.1024080746123138e-15
is.post.thanksgiving,-0.9074264555190326,0.08637292293320796,-10.505913481945539,4.627269306167008e-25
is.xmas,0.2687498665067183,0.08258979819594905,3.254032245836147,0.0011600277161096294
business.day.pct,1.1670094803521736,0.16009900876080932,7.289298599566633,4.742247469810179e-13
is.third.monday,0.10519574464829218,0.02796315853087707,3.7619407168233328,1.7428949065920256e-4
is.first.wednesday,0.1271729515630318,0.02803951615631877,4.535490229362359,6.1472223668197596e-6
is.first.friday,0.11036574297930245,0.027995265835196518,3.9423002313679483,8.396181482880911e-5
