date,deposit.amount,business.day.of.month,year.month,weekday,prev.weekday,prev.date,next.date,is.wednesday.semiweekly,is.friday.semiweekly,is.month.start,is.month.end,is.year.start,is.year.end,is.monday,is.tuesday,is.wednesday,is.thursday,is.friday,is.fifteen,is.sixteen,is.second,is.eleventh,is.third,is.twelveth,is.xmas,is.post.thanksgiving,is.march.sixteen,is.april.sixteen,is.tax.season,third.monday.date,first.monday.date,first.wednesday.date,first.friday.date,first.semiweekly.date,is.third.monday,is.first.monday,is.first.wednesday,is.first.friday,is.first.semiweekly,day.average,day.count,month.length,month.deposit.amount,pct.deposit,business.day.pct,days.to.end,fitted.value,residual,predicted.mean,day,month,year,mtd.fitted,mtd.actual,mtd.residual,mtd.deposit,mtd.month.est,mtd.error,month.fitted,scale.factor
2013-02-01,21297,1,Feb 2013,4,3,2013-01-31,2013-02-04,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,1,1,8629.368421052632,19,28,163958,2.467967406286976,0.6785714285714286,18,2.4756795129620386,-0.0077121066750625595,8602.486666183662,1,2,2013,2.4756795129620386,2.467967406286976,-0.007712106675062724,21297,163447.2466574896,0.0031248818989328964,19.210865930862944,0.9890236113446516
2013-02-04,15608,2,Feb 2013,0,4,2013-02-01,2013-02-05,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,1,0,0,0,8629.368421052632,19,28,163958,1.8087071079178814,0.6785714285714286,17,1.9496461686152915,-0.14093906069741002,8005.555188039766,4,2,2013,4.4253256815773305,4.276674514204857,-0.1486511673724733,36905,158450.48488048709,0.03475858798202491,19.210865930862944,0.9890236113446516
2013-02-05,2487,3,Feb 2013,1,0,2013-02-04,2013-02-06,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,0.2882018565730248,0.6785714285714286,16,0.33474314041666314,-0.04654128384363837,7429.577188361109,5,2,2013,4.760068821993993,4.564876370777882,-0.19519245121611117,39392,157234.70142737875,0.0427596358283957,19.210865930862944,0.9890236113446516
2013-02-06,9289,4,Feb 2013,2,1,2013-02-05,2013-02-07,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,1,0,0,8629.368421052632,19,28,163958,1.0764403078837264,0.6785714285714286,15,1.0252509404974528,0.051189367386273464,9060.220901131745,6,2,2013,5.785319762491446,5.6413166786616085,-0.14400308382983784,48681,159876.90187787917,0.025526502416453933,19.210865930862944,0.9890236113446516
2013-02-07,2261,5,Feb 2013,3,2,2013-02-06,2013-02-08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,0.262012222642384,0.6785714285714286,14,0.3033893826554483,-0.04137716001306429,7452.469101622323,7,2,2013,6.088709145146894,5.9033289013039925,-0.18538024384290175,50942,158966.04303581803,0.0314026622846566,19.210865930862944,0.9890236113446516
2013-02-08,6038,6,Feb 2013,4,3,2013-02-07,2013-02-11,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,0.6997035826248186,0.6785714285714286,13,0.8204383725003385,-0.12073478987551992,7359.480251513357,8,2,2013,6.909147517647233,6.603032483928811,-0.30611503371842197,56980,156693.71615453128,0.046359764920660185,19.210865930862944,0.9890236113446516
2013-02-11,12640,7,Feb 2013,0,4,2013-02-08,2013-02-12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,1.4647653667402627,0.6785714285714286,12,1.6482217800421166,-0.18345641330185383,7668.8708722663605,11,2,2013,8.55736929768935,8.067797850669074,-0.48957144702027655,69620,154577.87948419794,0.060682165825421075,19.210865930862944,0.9890236113446516
2013-02-12,2634,8,Feb 2013,1,0,2013-02-11,2013-02-13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,0.30523670696153893,0.6785714285714286,11,0.25783120612643534,0.04740550083510358,10215.986030443259,12,2,2013,8.815200503815785,8.373034557630612,-0.44216594618517213,72254,155733.95062378363,0.05280832691442927,19.210865930862944,0.9890236113446516
2013-02-13,6417,9,Feb 2013,2,1,2013-02-12,2013-02-14,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,0.7436233669598312,0.6785714285714286,10,0.9070720118646801,-0.1634486449048489,7074.410759084592,13,2,2013,9.722272515680466,9.116657924590443,-0.6056145910900224,78671,153744.81610026973,0.06642945211934426,19.210865930862944,0.9890236113446516
2013-02-14,2277,10,Feb 2013,3,2,2013-02-13,2013-02-15,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2013-02-18,2013-02-04,2013-02-06,2013-02-01,2013-02-01,0,0,0,0,0,8629.368421052632,19,28,163958,0.2638663560180046,0.6785714285714286,9,0.3033893826554756,-0.039523026637471,7505.206609638435,14,2,2013,10.02566189833594,9.380524280608448,-0.6451376177274923,80948,153407.52716339647,0.0687741536004689,19.210865930862944,0.9890236113446516
