date,deposit.amount,business.day.of.month,weekday,prev.weekday,prev.date,next.date,is.wednesday.semiweekly,is.friday.semiweekly,is.month.start,is.month.end,is.year.start,is.year.end,is.monday,is.tuesday,is.wednesday,is.thursday,is.friday,is.fifteen,is.sixteen,is.second,is.eleventh,is.third,is.twelveth,is.xmas,is.post.thanksgiving,is.march.sixteen,is.april.sixteen,is.tax.season,third.monday.date,first.monday.date,first.wednesday.date,first.friday.date,first.semiweekly.date,is.third.monday,is.first.monday,is.first.wednesday,is.first.friday,is.first.semiweekly,day.average,day.count,month.length,month.deposit.amount,year.month,business.day.pct,forecast,lower.ci,upper.ci,value.y_intercept,value.is.monday,value.is.wednesday,value.is.thursday,value.is.friday,value.is.fifteen,value.is.sixteen,value.is.second,value.is.third,value.is.month.start,value.is.month.end,value.is.year.start,value.is.year.end,value.is.march.sixteen,value.is.april.sixteen,value.is.tax.season,value.is.post.thanksgiving,value.is.xmas,value.business.day.pct,value.is.first.wednesday,value.is.twelveth,value.is.wednesday.semiweekly,value.is.friday.semiweekly,fitted.value,predicted.mean,day,month,year,days.to.end,mtd.fitted,mtd.deposit,mtd.month.est,month.fitted,scale.factor
2020-01-02,32763,1,3,1,2019-12-31,2020-01-03,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,1,0,1,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0.12682365553579766,0.045558176529040775,0,0,0,0,0,1.6552411404618053,0,0.5169804764303185,0,0,-0,0,-0,0,0.6342964814961325,0.11817892863273807,0,0.5224171502024458,-0,3.241951998405836,10105.948519938154,2,1,2020,20,3.241951998405836,32763,212224.91891870124,21.478261522419782,0.9777327638030407
2020-01-03,11390,2,4,3,2020-01-02,2020-01-06,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,1,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0,0,0.6985930038930406,0,0,0.30142438857337445,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0,1.2567698630801047,9062.916238367834,3,1,2020,19,4.498721861485941,44153,206105.8737456018,21.478261522419782,0.9777327638030407
2020-01-06,19550,3,0,4,2020-01-03,2020-01-07,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,1,0,0,1,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,1.3903905739156974,0,0,0,0,0,0,0.07691193429022788,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0.13598583751920648,1.5880691413004087,12310.54712390624,6,1,2020,18,6.08679100278635,63703,219781.32638160442,21.478261522419782,0.9777327638030407
2020-01-07,3153,4,1,0,2020-01-06,2020-01-08,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0,0.2567524706136898,12280.310263280813,7,1,2020,17,6.3435434734000395,66856,221323.6191865319,21.478261522419782,0.9777327638030407
2020-01-08,8284,5,2,1,2020-01-07,2020-01-09,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0.12682365553579766,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0.5224171502024458,-0,0.9059932763519333,9143.555715287757,8,1,2020,16,7.2495367497519725,75140,217660.8043340129,21.478261522419782,0.9777327638030407
2020-01-09,3282,6,3,2,2020-01-08,2020-01-10,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0,0.045558176529040775,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0,0.30231064714273054,10856.38243647589,9,1,2020,15,7.551847396894703,78422,218074.0570416167,21.478261522419782,0.9777327638030407
2020-01-10,8423,7,4,3,2020-01-09,2020-01-13,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0,0,0.6985930038930406,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0.13598583751920648,0.8193596369875239,10279.97916881553,10,1,2020,14,8.371207033882227,86845,217859.26361854904,21.478261522419782,0.9777327638030407
2020-01-13,18856,8,0,4,2020-01-10,2020-01-14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,1.3903905739156974,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0,1.647143044529387,11447.700345532185,13,1,2020,13,10.018350078411615,105701,221565.5255233336,21.478261522419782,0.9777327638030407
2020-01-14,3233,9,1,0,2020-01-13,2020-01-15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0,0,0,0,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0,-0,0.2567524706136898,12591.89441204785,14,1,2020,12,10.275102549025304,108934,222636.6101053661,21.478261522419782,0.9777327638030407
2020-01-15,12434,10,2,1,2020-01-14,2020-01-16,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2020-01-20,2020-01-06,2020-01-01,2020-01-03,2020-01-01,0,0,0,0,0,11068.761904761905,21,31,232444,Jan 2020,0.6774193548387096,234424.968278729,224857.576236051,244399.440180713,-0.3775440108824427,0,0.12682365553579766,0,0,0.33457122130290184,0,0,0,0,0,0,0,0,-0,0,-0,0,0.6342964814961325,0,0,0.5224171502024458,-0,1.2405644976548351,10022.856549180031,15,1,2020,11,11.51566704668014,121368,221326.99648821255,21.478261522419782,0.9777327638030407
