date,forecast,lower.ci,upper.ci
2020-01-01,234424.968278729,224857.576236051,244399.440180713
2020-02-01,225394.38640291,215850.7827752,235359.949909717
2020-03-01,259895.26629524,248552.647005988,271755.502330444
2020-04-01,216688.025889434,206943.206654473,226891.722240765
2020-05-01,204363.571152514,195013.489366143,214161.950283319
2020-06-01,217949.83913485,207739.085933053,228662.469393051
2020-07-01,216115.767058571,205718.167962979,227038.891284118
2020-08-01,208706.42925438,198474.492152618,219465.852461379
2020-09-01,207111.239173439,196753.538560419,218014.20043475
2020-10-01,205654.207922084,195146.172000549,216728.070053769
2020-11-01,214468.737364024,203305.845235783,226244.549207005
2020-12-01,255443.517098806,241922.27945971,269720.467968207
2021-01-01,235772.987846355,222057.645345966,250335.45551377
2021-02-01,234538.65287358,220420.579464989,249560.997549646
2021-03-01,282858.370308122,265221.554529993,301668.006565881
2021-04-01,227971.338817975,213479.335177047,243447.129340919
2021-05-01,221909.721485594,207467.990508546,237356.73329224
2021-06-01,222814.525355047,208074.05873014,238599.242078435
2021-07-01,219563.671544673,204665.630987242,235546.171722317
2021-08-01,221868.307063963,206588.51717808,238278.227424404
2021-09-01,218905.605735447,203503.100883104,235473.877373145
2021-10-01,214398.689124801,199052.451020484,230928.067766936
2021-11-01,227316.720447122,210803.438078023,245123.57040263
2021-12-01,275958.325264286,255493.453748148,298062.42064322
2022-01-01,256015.872945209,235806.785348107,277956.917580376
2022-02-01,246991.952030218,226905.446637278,268856.58882053
2022-03-01,282642.54987935,259049.807728984,308383.981067757
2022-04-01,236958.733703556,216834.49437904,258950.687893042
2022-05-01,235904.2527005,215507.115353458,258231.921256555
2022-06-01,235503.147169415,214713.041667584,258306.304526039
2022-07-01,228899.587488341,208357.279805478,251467.197120487
2022-08-01,241471.530642819,219465.429845933,265684.213463227
2022-09-01,230304.391806742,208932.04723553,253862.983622043
2022-10-01,232806.42984583,210849.525804877,257049.825322906
2022-11-01,232390.477427026,210182.715318372,256944.69650826
2022-12-01,280360.956134796,253108.456122164,310547.766475567
