"Index","deposit.amount"
2014-01-02,29245
2014-01-03,9745
2014-01-06,12115
2014-01-07,6373
2014-01-08,6443
2014-01-09,2290
2014-01-10,5445
2014-01-13,12221
2014-01-14,2630
2014-01-15,10781
2014-01-16,10692
2014-01-17,7928
2014-01-21,14621
2014-01-22,3587
2014-01-23,8107
2014-01-24,5537
2014-01-27,13738
2014-01-28,3107
2014-01-29,7902
2014-01-30,2315
2014-01-31,10161
2014-02-03,32241
2014-02-04,3901
2014-02-05,9407
2014-02-06,2624
2014-02-07,5526
2014-02-10,13404
2014-02-11,3618
2014-02-12,6955
2014-02-13,2399
2014-02-14,9162
2014-02-18,28853
2014-02-19,4557
2014-02-20,7908
2014-02-21,6163
2014-02-24,16506
2014-02-25,2098
2014-02-26,7868
2014-02-27,3170
2014-02-28,10738
2014-03-03,35500
2014-03-04,3942
2014-03-05,10193
2014-03-06,3585
2014-03-07,7260
2014-03-10,16659
2014-03-11,3074
2014-03-12,7375
2014-03-13,2978
2014-03-14,10720
2014-03-17,34213
2014-03-18,2355
2014-03-19,8904
2014-03-20,2799
2014-03-21,5981
2014-03-24,13302
2014-03-25,1822
2014-03-26,7314
2014-03-27,2378
2014-03-28,7287
2014-03-31,16335
2014-04-01,15481
2014-04-02,10323
2014-04-03,2711
2014-04-04,8208
2014-04-07,12416
2014-04-08,1982
2014-04-09,7326
2014-04-10,2359
2014-04-11,7676
2014-04-14,13101
2014-04-15,6541
2014-04-16,8423
2014-04-17,9745
2014-04-18,7309
2014-04-21,11863
2014-04-22,1648
2014-04-23,6975
2014-04-24,1899
2014-04-25,6775
2014-04-28,14004
2014-04-29,1962
2014-04-30,8855
2014-05-01,15579
2014-05-02,9101
2014-05-05,12618
2014-05-06,2101
2014-05-07,9499
2014-05-08,2382
2014-05-09,6788
2014-05-12,12975
2014-05-13,1757
2014-05-14,6714
2014-05-15,5961
2014-05-16,13429
2014-05-19,12124
2014-05-20,1717
2014-05-21,8997
2014-05-22,2303
2014-05-23,7334
2014-05-27,14321
2014-05-28,3171
2014-05-29,6169
2014-05-30,7207
2014-06-02,27093
2014-06-03,2699
2014-06-04,9980
2014-06-05,2101
2014-06-06,7150
2014-06-09,13199
2014-06-10,1981
2014-06-11,7620
2014-06-12,2262
2014-06-13,7059
2014-06-16,24021
2014-06-17,3078
2014-06-18,8440
2014-06-19,1849
2014-06-20,7019
2014-06-23,13726
2014-06-24,1551
2014-06-25,6899
2014-06-26,2901
2014-06-27,5760
2014-06-30,14268
