date,deposit.amount,day.count
1990-01-01,72462,21
1990-02-01,57049,19
1990-03-01,63672,22
1990-04-01,58171,21
1990-05-01,63365,22
1990-06-01,61084,21
1990-07-01,62499,21
1990-08-01,64307,23
1990-09-01,55857,19
1990-10-01,62139,22
1990-11-01,61408,20
1990-12-01,59156,20
1991-01-01,72716,21
1991-02-01,60127,19
1991-03-01,63996,21
1991-04-01,61923,22
1991-05-01,63504,22
1991-06-01,61742,20
1991-07-01,64777,22
1991-08-01,62769,22
1991-09-01,59528,20
1991-10-01,64557,22
1991-11-01,59475,19
1991-12-01,67368,21
1992-01-01,74829,21
1992-02-01,62700,19
1992-03-01,66702,22
1992-04-01,63155,22
1992-05-01,59585,20
1992-06-01,67472,22
1992-07-01,66172,23
1992-08-01,61328,21
1992-09-01,62324,21
1992-10-01,64460,21
1992-11-01,60569,19
1992-12-01,74105,22
1993-01-01,75277,19
1993-02-01,64275,19
1993-03-01,71395,23
1993-04-01,68253,22
1993-05-01,63556,20
1993-06-01,69667,22
1993-07-01,68460,21
1993-08-01,66820,22
1993-09-01,65618,21
1993-10-01,66268,20
1993-11-01,66191,20
1993-12-01,75190,23
1994-01-01,83915,20
1994-02-01,68513,19
1994-03-01,80195,23
1994-04-01,69526,21
1994-05-01,70733,21
1994-06-01,73692,22
1994-07-01,71531,20
1994-08-01,73945,23
1994-09-01,71454,21
1994-10-01,70869,20
1994-11-01,72798,20
1994-12-01,77569,21
1995-01-01,90725,20
1995-02-01,75459,19
1995-03-01,86794,23
1995-04-01,70551,20
1995-05-01,79344,22
1995-06-01,78519,22
1995-07-01,75858,20
1995-08-01,78290,23
1995-09-01,72983,20
1995-10-01,79741,21
1995-11-01,75211,21
1995-12-01,79305,20
1996-01-01,102962,21
1996-02-01,82241,20
1996-03-01,83242,21
1996-04-01,85610,22
1996-05-01,82177,22
1996-06-01,77309,20
1996-07-01,86555,22
1996-08-01,79879,22
1996-09-01,77730,20
1996-10-01,84368,22
1996-11-01,81243,19
1996-12-01,89824,21
1997-01-01,108209,21
1997-02-01,87154,19
1997-03-01,92654,21
1997-04-01,88786,22
1997-05-01,85659,21
1997-06-01,90987,21
1997-07-01,90810,22
1997-08-01,85450,21
1997-09-01,89196,21
1997-10-01,92346,22
1997-11-01,87704,18
1997-12-01,109127,22
1998-01-01,104650,20
1998-02-01,96666,19
1998-03-01,104014,22
1998-04-01,96371,22
1998-05-01,92102,20
1998-06-01,99448,22
1998-07-01,97777,23
1998-08-01,94130,21
1998-09-01,93997,21
1998-10-01,94523,21
