date,forecast,lower.ci,upper.ci
2020-01-01,234929.937140574,226127.161156252,244075.391397748
2020-02-01,225955.362190038,217284.093542714,234972.679637936
2020-03-01,261129.101282752,250894.995252946,271780.660542837
2020-04-01,217299.043176737,208617.842326874,226341.494279
2020-05-01,205415.781601279,197144.089083001,214034.534472394
2020-06-01,218492.107490403,209553.127910064,227812.400185629
2020-07-01,216574.538175717,207553.373143545,225987.801959669
2020-08-01,210121.665353826,201267.843905952,219364.968562471
2020-09-01,207079.136153762,198237.342435829,216315.292080096
2020-10-01,206338.318275887,197399.147396107,215682.297266909
2020-11-01,216043.285068351,206558.089563631,225964.042956286
2020-12-01,253956.953980252,242691.34550634,265745.506253509
2021-01-01,237107.282499978,225387.570809856,249436.39621527
2021-02-01,235524.104230843,223572.401381882,248114.719575741
2021-03-01,284764.19924432,269845.839500329,300507.316775436
2021-04-01,228841.70813249,216700.937890727,241662.670640599
2021-05-01,224080.586176527,211965.396401244,236888.237201538
2021-06-01,223452.865612385,211248.159176926,236362.689951623
2021-07-01,220344.528981266,208043.339103717,233373.063810379
2021-08-01,223066.371425096,210481.987477141,236403.155714989
2021-09-01,219718.716692396,207111.991676739,233092.801986586
2021-10-01,215985.30206608,203414.080933606,229333.438936324
2021-11-01,228540.787098004,215098.83748523,242822.750592325
2021-12-01,275705.001313304,259183.080404172,293280.130904506
2022-01-01,258651.688955661,241943.120202064,276514.149870196
2022-02-01,248523.817708203,232041.614741912,266176.771942212
2022-03-01,284070.704739067,264764.285292519,304784.934273875
2022-04-01,238692.718215788,222255.777430444,256345.254048895
2022-05-01,237885.242252562,221254.326859964,255766.245499808
2022-06-01,237091.856695481,220212.237529784,255265.325587129
2022-07-01,230646.348425668,213995.379895908,248592.92788457
2022-08-01,243256.367540676,225474.745284128,262440.302458343
2022-09-01,231389.911807716,214198.429702241,249961.175536211
2022-10-01,235610.490660469,217853.358528203,254814.998879536
2022-11-01,233729.695653203,215928.263790902,252998.702768437
2022-12-01,280504.297337436,258802.10374353,304026.35715335
